City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Padang,ID,77.85,light rain,-0.9492,100.3543,Mercure Padang
2,Butaritari,KI,82.62,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
8,Constantine,DZ,84.02,scattered clouds,36.365,6.6147,Grand Hotel Cirta
10,Hithadhoo,MV,84.07,broken clouds,-0.6,73.0833,Scoop Guest House
12,Rio Branco Do Sul,BR,77.83,clear sky,-25.19,-49.3142,"Dr Hotel Rio Branco do Sul ( Suítes Com Ar $100,00 à $140,00)"
14,Sinnamary,GF,87.22,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
16,Narayanganj,BD,75.9,overcast clouds,23.6233,90.5011,Ameer Hussain
33,Mpulungu,ZM,82.56,scattered clouds,-8.7623,31.1141,Chela moche guest house
39,Port-Gentil,GA,77.31,overcast clouds,-0.7193,8.7815,Fengshui Residence
43,Bambanglipuro,ID,75.33,overcast clouds,-7.95,110.2833,Puri Brata
45,Arraial Do Cabo,BR,75.78,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,Half Moon Bay,US,78.96,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
54,Kavieng,PG,81.45,light rain,-2.5744,150.7967,Nusa Island Retreat
64,Fukue,JP,76.23,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
67,Cabo San Lucas,MX,84.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Alofi,NU,75.47,light rain,-19.0595,-169.9187,Taloa Heights
73,Polis,CY,81.28,clear sky,35.0367,32.4264,Marion
80,Sola,VU,78.55,broken clouds,-13.8833,167.55,Leumerus Bungalows
84,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
85,Huaicheng,CN,78.69,light rain,23.9051,112.1931,Tengye Hotel
96,Guerrero Negro,MX,77.77,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
98,Georgetown,MY,80.89,overcast clouds,5.4112,100.3354,Cititel Penang
101,Caborca,MX,83.91,clear sky,30.5838,-111.101,Hotel Los Lagos
104,Acapulco,MX,82.98,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
107,Ternate,ID,79.99,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
108,Ponta Do Sol,PT,79.12,broken clouds,32.6667,-17.1,Hotel do Campo
110,Safford,US,78.93,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
111,Avarua,CK,75.29,light rain,-21.2078,-159.775,Paradise Inn
114,Bubaque,GW,81.75,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
119,Atuona,PF,77.2,light rain,-9.8,-139.0333,Villa Enata
120,San Clemente,US,89.78,clear sky,33.427,-117.612,Casablanca Inn
121,Aksu,CN,75.79,clear sky,41.1231,80.2644,Pudong Holiday Hotel
149,Sao Filipe,CV,81.55,scattered clouds,14.8961,-24.4956,Hotel Xaguate
150,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
155,Harper,LR,80.04,light rain,4.375,-7.7169,Screensaver
161,Mabaruma,GY,88.61,broken clouds,8.2,-59.7833,Monty Brooms Guest House
167,Auki,SB,76.35,broken clouds,-8.7676,160.7034,Auki Motel
168,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
169,Porbandar,IN,81.77,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
170,Pedernales,DO,85.69,clear sky,18.0384,-71.744,Hotel Costa Marina
171,Bandarbeyla,SO,77.52,overcast clouds,9.4942,50.8122,JABIR HOTEL
172,Monrovia,LR,82.63,scattered clouds,6.3005,-10.7969,Sunset Inn
179,Clarksville,US,79.72,scattered clouds,36.5298,-87.3595,Riverview Inn
181,Cozumel,MX,89.01,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
188,Wilmington,US,81.0,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
190,Cayenne,GF,88.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
