City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2021-09-17 21:38:51,65.6145,-37.6368,28.81,62,100,1.83
1,Tiarei,PF,2021-09-17 21:42:35,-17.5333,-149.3333,77.38,77,25,23.8
2,Tuktoyaktuk,CA,2021-09-17 21:39:10,69.4541,-133.0374,47.05,71,99,6.44
3,Mildura,AU,2021-09-17 21:42:36,-34.2,142.15,51.08,71,0,15.66
4,Ayan,RU,2021-09-17 21:42:36,56.45,138.1667,47.95,62,5,5.06
5,Tuatapere,NZ,2021-09-17 21:42:36,-46.1333,167.6833,42.82,61,6,3.65
6,Honiara,SB,2021-09-17 21:42:37,-9.4333,159.95,83.32,74,75,7.38
7,Port Alfred,ZA,2021-09-17 21:38:32,-33.5906,26.891,58.15,55,83,3.4
8,Dikson,RU,2021-09-17 21:38:53,73.5069,80.5464,33.8,72,42,20.2
9,Rikitea,PF,2021-09-17 21:42:37,-23.1203,-134.9692,71.94,74,60,11.05
10,Houma,US,2021-09-17 21:42:38,29.5958,-90.7195,86.0,87,98,9.8
11,Punta Arenas,CL,2021-09-17 21:42:39,-53.15,-70.9167,39.49,82,97,2.35
12,Olavarria,AR,2021-09-17 21:42:39,-36.8927,-60.3225,58.21,77,0,7.09
13,Acarau,BR,2021-09-17 21:42:39,-2.8856,-40.12,78.91,79,6,18.28
14,Ushuaia,AR,2021-09-17 21:42:40,-54.8,-68.3,37.83,83,100,1.1
15,Hearst,CA,2021-09-17 21:42:40,49.6835,-83.6665,61.38,64,100,13.04
16,Port-Cartier,CA,2021-09-17 21:42:40,50.0334,-66.8654,59.76,73,4,9.22
17,Adrar,MR,2021-09-17 21:42:41,20.5022,-10.0711,86.59,42,85,5.91
18,Sumbe,AO,2021-09-17 21:42:41,-11.2061,13.8437,71.64,82,26,4.23
19,Bethel,US,2021-09-17 21:39:38,41.3712,-73.414,74.62,85,47,5.59
20,Suluq,LY,2021-09-17 21:42:42,31.6682,20.2521,76.28,59,0,7.02
21,Saint-Augustin,CA,2021-09-17 21:42:42,51.226,-58.6502,58.21,68,86,18.32
22,Cherskiy,RU,2021-09-17 21:38:34,68.75,161.3,40.78,79,100,6.55
23,Luderitz,NA,2021-09-17 21:42:42,-26.6481,15.1594,56.89,74,0,12.75
24,Danielskuil,ZA,2021-09-17 21:42:43,-28.1887,23.5395,47.82,25,0,9.51
25,Tevaitoa,PF,2021-09-17 21:42:43,-16.7833,-151.5,78.58,74,17,21.07
